2-FAL,MeOH,EtOH,DP,predicted_DP
0,0,0,1022,866.07697
0.07289,0,0,926.22302,861.8266
0.0872,0.18919,0,849.2911,821.51245
0,0.22687,0,733.48759,816.3611
0,0.23907,0,588.48226,813.67053
0.276,1.67038,0.04642,502.89831,547.563
0.395,1.86284,0.08336,374.74607,523.7457
0,2.59491,0.16477,321.7013,467.87973
2.104,0,0.29118,300,387.42804
2.633,2.30787,0.50706,271.11486,416.823
5.2728,2.2374,0.60042,263.26364,248.11801
7.524,2.70799,0.82865,250,275.71234
9.863,2.19621,0.93293,240.47285,245.18883
7.845,1.29243,1.44239,238.1818,245.27866
0.142,0.24227,0,904.2445,807.8213
0.178,0.45627,0,814.36303,759.32184
0.299,0.9487,0,686.40041,651.5724
0.421,1.18888,0,537.72704,609.47687
0.63,1.75498,0.10725,454.86105,530.4724
1.734,2.94494,0.17958,341.47482,392.42432
2.711,0,0.31959,301,308.45087
3.822,1.65964,0.45154,276.35962,286.95093
6.202,1.14445,1.11153,254,264.21622
10.436,2.12677,1.51499,259.16985,246.59775
9.2,2.07023,1.72401,238.1818,246.22688
0,0.3183,0,880,796.19727
0,1.21222,0,650,618.9539
0.961,2.3,0.33618,411.7813,472.87494
0,3.25,0,360,442.923
2.40813,0,0.29113,329.11262,342.83136
4.5059,0,0.4166,280,221.49405
6.17928,2.43718,0.6865,255.20141,276.80856
8.6,0,0.817,250,244.54555
10.798,0,1.52472,245,234.09131
9.814,0,1.80894,243,237.92776
8.6,2.59044,2.09149,241.63498,230.98273
0.561,1.85529,0.10857,625.06611,521.04486
0.86,2.75661,0.2208,476.53685,429.32736
1.64,3.1202,0.5619,367.85349,402.71555
2.1945,3.49961,0.636,330,374.7749
3.342,2.02866,0.8131,320.6697,306.06815
8.801,2.15429,1.48327,270,244.52768
12.725,2.06407,1.80595,254.55179,250.97075
9.9999,1.29243,1.85889,253.92147,245.38725
7.778,1.74109,2.29714,242.90245,246.61716
0.344,0.82668,0.1,788.43052,689.71576
0.67,1.87796,0.2334,616.02896,524.3624
0.94,1.96095,0.3254,480,512.6661
1.726,3.11874,0.5556,415.20073,398.94733
2.723,3.99518,0.76956,367.85349,374.79596
3.8,3.19637,0.91072,326.96048,329.82483
7.6,2.78748,0.98032,307.83689,281.6184
13.193,1.82069,1.08536,289.98337,272.63184
11.123,1.84355,1.51471,266.77526,242.67213
12,1.70344,1.87121,250,237.93626
10.78,1.1813,2.5959,240,244.88135
0.069,0.44558,0,898.60782,765.6277
0.072,0.49011,0,873.94756,755.6985
0.084,0.43942,0,780.73728,766.44293
0.13,0.50986,0,680.73728,749.24194
0.369,1.72122,0.05671,568.61325,539.2596
1.138,2.33151,0.09495,411.93813,446.00018
1.314,3.8345,0.19704,287.67709,411.89963
4.1,1.95517,0.31411,251.01388,279.3874
5.388,1.74289,0.61746,238.43695,224.21312
7.151,1.31686,0.67713,236.48611,232.75847
7.114,1.7365,0.91432,223.70478,234.78757
8.317,1.69989,0.94356,210.99248,215.62938
9.903,1.87045,1.5833,193.42702,231.63988
0.07,0.46167,0,832.5236,762.04297
0.077,0.55285,0,803.10974,741.6807
0.093,0.63973,0,671.18398,721.94073
0.185,0.8306,0,472.54176,676.8162
1.343,3.83175,0.1475,496.39946,414.04993
3.393,4.27362,0.18827,362.31245,356.9483
4.305,3.6664,0.23275,337.73473,298.1315
6.171,3.38313,0.34932,313.32589,306.01523
9.235,4.07773,1.13675,263.65099,252.9556
13.675,3.93969,1.48938,240,244.04181
12.847,3.26929,2.16315,228.14279,229.32178
1.959,4.90443,0.13161,405.38996,405.5693
3.725,5.62919,0.25853,375.38931,364.69165
4.999,5.40082,0.59567,315.04311,321.75323
5.933,4.55647,0.9339,305.04311,307.7911
9.384,3.55742,1.12594,299.05084,273.47546
11.158,3.72987,1.45125,278.60868,247.38458
15.612,2.8262,1.52769,240.9474,246.12982
14.698,2.73494,2.56059,232.58902,224.73653
0.66,1.33311,0.09365,603.53466,589.8132
0.762,2.63128,0.13818,472.54176,434.54922
1.673,5.4666,0.39473,400.20758,416.7674
3.247,6.75137,0.52781,362.8927,377.0794
6.638,6.60053,0.97806,307.03708,276.676
8.816,7.97313,1.58284,274.65,263.73145
13.641,7.6995,1.93083,236.48611,226.23885
18.235,7.47671,2.4632,232.58902,223.10513
15.654,5.44516,2.71546,197.80471,212.17796
0.171,1.1952,0.12,539.9177,630.6328
0.475,2.92378,0.27438,472.54176,442.4205
0.717,3.1339,0.3903,400.20758,428.80273
1.66,5.32445,0.6603,366.95695,427.76102
3.791,6.10371,0.8011,323.06851,343.02957
5.094,6.37458,0.90103,257.76434,294.0823
6.495,6.99963,0.97833,249.33343,271.94254
6.981,7.67362,1.03006,286.54204,266.68735
12.025,8.50296,1.63746,232.58902,205.4774
16.203,6.58778,2.19911,232.58902,214.83093
21.527,4.96718,3.10089,188.78602,186.49689
0.079,0.5619,0,860.82553,739.6124
0.077,0.665293,0,698.60782,716.88257
0.107,0.67448,0,556.51373,713.7699
0.135,0.80874,0,520.36662,683.14606
1.057,1.82988,0.08015,520.36662,505.31125
1.846,2.56099,0.11632,411.93813,401.95102
3.497,3.81631,0.25721,324.79072,341.2253
4.324,4.24467,0.32108,225.92275,288.24704
7.31,3.12578,0.67743,324.79072,316.1233
9.165,2.28238,0.7501,244.85749,247.59483
10.548,1.86445,1.01035,240.9474,242.06427
12.951,1.61934,1.46682,220,237.59848
11.026,1.46275,1.80557,210,224.35516
0.07,0.61775,0,673.94756,727.6213
0.078,0.80116,0,615.72669,686.8823
0.094,0.90173,0,580.73728,666.9281
0.132,1.35216,0,520.36662,592.51776
1.589,4.04457,0.18662,460.65534,409.7096
5.408,6.89406,0.25133,362.31245,334.40155
7.007,5.23026,0.33944,263.65099,266.73135
9.275,5.01368,0.78522,206.09404,242.36055
15.607,6.15663,1.45754,201.5876,185.825
16.776,5.58883,1.68365,188.78602,196.02347
14.218,6.47616,2.29344,184.69999,222.69742
1.673,5.21066,0.19788,400.49399,413.2952
6.107,6.76253,0.2818,257.74634,294.24374
8.241,7.84433,0.63078,232.58902,227.96481
10.719,6.52981,1.03572,197.80471,200.58163
15.111,6.3931,1.53858,197.58902,191.90279
18.363,7.32159,1.77569,188.40612,187.52275
17.273,6.01326,2.12782,188.40612,201.48097
15.586,6.00533,2.72273,184.69999,206.12434
0.381,2.42535,0.1368,532.38996,467.87335
0.774,2.98294,0.2933,435.49399,429.59885
1.865,5.89229,0.65636,375.38931,416.88284
3.548,6.84062,0.84555,347.25715,346.28305
7.741,8.54033,1.04403,266.18542,258.52347
8.663,7.3484,1.58215,266.18542,275.04974
18.047,7.3214,2.63454,228.14279,218.95438
20.928,7.71951,2.70606,219.27512,208.1479
15.838,7.0541,3.36757,206.876,196.1641
0.412,1.7178,0.1778,506.51373,549.378
0.889,3.25846,0.1892,443.36962,415.41614
1.792,3.65997,0.901,390.20753,398.45645
4.049,6.225,1.08563,324.79072,325.871
5.453,7.48329,1.57463,311.03765,302.75702
11.006,7.5356,1.7852,249.33343,244.83469
15.585,9.0822,2.24886,236.48611,234.05211
18.197,8.8552,2.51797,221.68136,227.39145
21.489,6.48212,2.92228,221.68136,205.3087
26.225,7.36641,4.17588,210.99248,199.63405
23.97,7.46694,4.39005,232.58902,210.4503
